,TICKER,EMISOR,VENCIMIENTO,AMORTIZACION,CUPON_DE_RENTA,PROX_VENC,VR,COTIZACION,FECH_ULT_COT,RENTA_ANUAL,INT_CORRIDOS_C100vn,YIELD_ANUAL,VALOR_TECNICO_C100vn,PARIDAD_PERC,TIR_ANUAL,DM,PPV
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,28800.000,17-Ago-22,Tasa fija=8.75,4.06,8.99,104.06,97.41,10.15%,2.23,2.55
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,19900.000,17-Ago-22,Fija=2.5,0.34,3.59,100.34,69.80,18.07%,3.84,4.66
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,15820.000,17-Ago-22,Fija=1.5,0.58,2.72,100.58,55.36,16.56%,5.81,7.87
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,27900.000,8-Ago-22,Fija=6,0.57,6.19,100.57,97.03,9.75%,0.85,0.89
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,28100.000,8-Ago-22,Fija=7.375,0.39,7.53,100.39,97.89,10.02%,0.88,0.93
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,16500.000,8-Ago-22,Fija=8.75,2.14,11.02,72.14,79.99,33.06%,0.93,1.17
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-22,100.00,27700.000,8-Ago-22,Tasa fija=6.875,1.62,7.22,101.62,95.33,10.10%,1.58,1.67
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,28825.000,8-Ago-22,Fija=9.5,4.01,9.81,104.01,96.92,13.65%,1.32,1.52
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,18900.000,8-Ago-22,Fija=8.5,0.28,12.91,100.28,65.91,27.27%,2.29,2.71
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,26500.000,8-Ago-22,Fija=8.5,0.09,9.18,100.09,92.59,13.35%,1.70,1.90
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Ago-22,100.00,23900.000,8-Ago-22,Fija=4,0.98,4.84,100.98,82.78,20.17%,1.67,1.92
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Sep-22,100.00,28899.000,8-Ago-22,Fija=10.95,1.22,10.97,101.22,99.85,11.45%,3.09,3.32
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,25200.000,8-Ago-22,Fija=8,0.49,9.13,100.49,87.70,12.38%,3.20,3.52
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-22,100.00,34000.000,8-Ago-22,Fija=9.125,2.53,7.84,102.53,115.97,4.35%,3.15,3.27
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,28700.000,8-Ago-22,Tasa fija=8.75,3.84,9.06,103.84,96.66,10.50%,2.24,2.58
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,19000.000,5-Ago-22,Fija=2.5,0.28,3.78,100.28,66.26,19.44%,3.81,4.69
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,16100.000,8-Ago-22,Fija=1.5,0.54,2.69,100.54,56.00,16.28%,5.87,7.90
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,20000.000,24-Feb-22,Fija=6,0.93,6.19,100.93,97.00,8.59%,1.25,1.30
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,20100.000,24-Feb-22,Fija=7.375,0.84,7.56,100.84,97.58,9.50%,1.27,1.34
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.00,19900.000,24-Feb-22,Fija=8.75,3.60,9.33,103.60,94.03,15.33%,0.98,1.15
3,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-22,100.00,21050.000,24-Feb-22,Fija=9.5,4.59,9.65,104.59,98.52,11.75%,1.68,1.88
4,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,16850.000,24-Feb-22,Fija=8.5,0.80,10.41,100.80,81.83,16.22%,2.74,3.06
5,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,20100.000,24-Feb-22,Fija=8.5,0.61,8.69,100.61,97.80,9.76%,2.10,2.28
6,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,17875.000,24-Feb-22,Fija=4,0.18,4.58,100.18,87.35,14.03%,2.15,2.35
7,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-22,100.00,21100.000,24-Feb-22,Fija=10.95,1.89,10.80,101.89,101.38,10.95%,3.36,3.63
8,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,19600.000,24-Feb-22,Fija=8,0.89,8.42,100.89,95.10,9.62%,3.56,3.86
9,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,23200.000,23-Feb-22,Fija=9.125,3.09,8.26,103.09,110.16,6.30%,3.38,3.60
10,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,14700.000,24-Feb-22,Fija=2.5,0.40,3.49,100.40,71.67,15.86%,4.30,5.09
11,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-22,100.00,11400.000,22-Feb-22,Fija=1.5,0.62,2.72,100.62,55.46,15.52%,6.29,8.31
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,19300.000,18-Abr-22,Fija=6,1.73,6.03,101.73,99.53,6.51%,1.13,1.17
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,19365.000,18-Abr-22,Fija=7.375,1.82,7.39,101.82,99.77,7.70%,1.15,1.20
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,12900.000,18-Abr-22,Fija=8.75,0.27,9.09,70.27,96.31,11.79%,1.36,1.47
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-22,100.00,18846.000,18-Abr-22,Tasa fija=6.875,2.96,7.17,102.96,96.03,9.28%,1.82,1.92
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,19300.000,18-Abr-22,Fija=9.5,1.11,9.49,101.11,100.14,10.81%,1.65,1.82
5,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,16650.000,18-Abr-22,Fija=8.5,1.94,9.95,101.94,85.69,14.71%,2.64,2.93
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,18880.000,18-Abr-22,Fija=8.5,1.75,8.74,101.75,97.35,10.08%,1.96,2.14
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,17270.000,18-Abr-22,Fija=4,0.76,4.45,100.76,89.92,13.13%,2.02,2.21
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-22,100.00,19550.000,18-Abr-22,Fija=10.95,0.61,10.74,100.61,101.94,10.77%,3.32,3.56
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,18700.000,18-Abr-22,Fija=8,2.04,8.33,102.04,96.14,9.34%,3.44,3.72
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,22000.000,13-Abr-22,Fija=9.125,4.31,8.21,104.31,110.65,6.05%,3.26,3.46
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,18820.000,18-Abr-22,Tasa fija=8.75,1.17,8.97,101.17,97.60,9.91%,2.55,2.89
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,14500.000,18-Abr-22,Fija=2.5,0.76,3.32,100.76,75.49,14.97%,4.22,4.95
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,12050.000,18-Abr-22,Fija=1.5,0.08,2.38,100.08,63.16,13.54%,6.49,8.21
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,21840.000,17-May-22,Fija=6,2.23,5.94,102.23,101.00,5.11%,1.06,1.09
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,21900.000,17-May-22,Fija=7.375,2.44,7.29,102.44,101.08,6.47%,1.08,1.12
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,13850.000,17-May-22,Fija=8.75,0.78,9.47,70.78,92.51,15.32%,1.26,1.39
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-22,100.00,20600.000,17-May-22,Tasa fija=6.875,0.10,7.07,100.10,97.30,8.54%,1.81,1.90
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,22100.000,17-May-22,Fija=9.5,1.90,9.26,101.90,102.54,9.29%,1.59,1.74
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,17500.000,17-May-22,Fija=8.5,2.64,10.61,102.64,80.61,17.48%,2.51,2.85
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,21200.000,17-May-22,Fija=8.5,2.46,8.69,102.46,97.83,9.85%,1.89,2.06
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Ago-22,100.00,18400.000,17-May-22,Fija=4,0.08,4.60,100.08,86.93,15.35%,1.94,2.14
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-22,100.00,22274.000,17-May-22,Fija=10.95,1.52,10.55,101.52,103.73,10.17%,3.25,3.48
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,21150.000,17-May-22,Fija=8,2.69,8.22,102.69,97.38,8.96%,3.37,3.64
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-22,100.00,23850.000,17-May-22,Fija=9.125,0.51,8.13,100.51,112.19,5.68%,3.33,3.50
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,21490.000,17-May-22,Tasa fija=8.75,1.90,8.78,101.90,99.71,9.04%,2.50,2.80
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,14468.500,17-May-22,Fija=2.5,0.97,3.71,100.97,67.75,18.07%,4.00,4.87
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,13000.000,17-May-22,Fija=1.5,0.20,2.45,100.20,61.34,14.18%,6.34,8.13
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,29500.000,7-Jul-22,Fija=6,0.08,6.02,100.08,99.64,6.49%,0.94,0.97
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,29240.000,7-Jul-22,Fija=7.375,3.48,7.73,103.48,95.51,12.70%,0.91,0.98
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,16500.000,7-Jul-22,Fija=8.75,1.65,11.32,71.65,77.84,34.26%,1.00,1.25
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-22,100.00,28500.000,7-Jul-22,Tasa fija=6.875,1.07,7.22,101.07,95.32,9.95%,1.66,1.76
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,29500.000,7-Jul-22,Fija=9.5,3.25,9.85,103.25,96.58,13.68%,1.39,1.60
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,18800.000,7-Jul-22,Fija=8.5,3.85,14.24,103.85,61.19,31.53%,2.15,2.71
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,28000.000,7-Jul-22,Fija=8.5,3.66,9.34,103.66,91.31,14.20%,1.69,1.92
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Ago-22,100.00,21700.000,7-Jul-22,Fija=4,0.66,5.50,100.66,72.88,28.10%,1.66,2.00
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Sep-22,100.00,28610.000,7-Jul-22,Fija=10.95,0.33,11.36,100.33,96.39,12.66%,3.15,3.40
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,28000.000,7-Jul-22,Fija=8,3.84,8.81,103.84,91.15,11.17%,3.17,3.49
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-22,100.00,30900.000,7-Jul-22,Fija=9.125,1.80,8.89,101.80,102.61,8.45%,3.11,3.35
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,28000.000,7-Jul-22,Tasa fija=8.75,3.14,9.56,103.14,91.77,12.83%,2.26,2.66
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,16350.000,1-Jul-22,Fija=2.5,0.08,4.53,100.08,55.23,24.37%,3.68,4.77
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,14010.000,7-Jul-22,Fija=1.5,0.42,3.20,100.42,47.16,19.30%,5.59,7.98
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.00,33100.000,10-Ene-23,Fija=6,0.10,6.07,100.10,98.88,8.66%,0.46,0.48
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,34500.000,10-Ene-23,Fija=7.375,3.50,7.40,103.50,99.68,8.27%,0.48,0.50
2,IRCFO,IRSA CLASE XIV EN U$S ,28-Feb-24,5-Anual,Sem.,22-Jun-23,100.00,33250.000,10-Ene-23,Tasa fija.=8.75,0.49,8.84,100.49,98.95,9.31%,3.00,3.37
3,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,28-Feb-24,3-Anual,Sem.,8-Jun-23,100.00,35895.000,10-Ene-23,Tasa fija.=9.5,0.90,8.93,100.90,106.38,7.12%,2.50,2.66
4,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-23,70.00,23150.000,10-Ene-23,Fija=8.75,1.67,9.07,71.67,96.59,14.03%,0.70,0.78
5,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,33600.000,10-Ene-23,Tasa fija=6.875,1.09,6.92,101.09,99.39,7.50%,1.24,1.29
6,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-23,86.70,30500.000,10-Ene-23,Fija=9.5,2.84,9.32,89.54,101.86,10.09%,1.23,1.34
7,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,30700.000,10-Ene-23,Fija=8.5,3.87,9.67,103.87,88.38,14.84%,2.07,2.29
8,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,34200.000,10-Ene-23,Fija=8.5,3.68,8.62,103.68,98.64,9.73%,1.34,1.48
9,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Feb-23,100.00,32725.000,10-Ene-23,Fija=9,0.84,9.28,100.84,97.04,11.61%,1.39,1.52
10,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-23,100.00,34499.000,10-Ene-23,Fija=10.95,0.37,10.65,100.37,102.79,10.37%,2.85,3.02
11,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,33550.000,10-Ene-23,Fija=8,3.87,8.29,103.87,96.59,9.42%,2.87,3.09
12,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.00,38300.000,10-Ene-23,Fija=9.125,1.83,8.10,101.83,112.48,4.95%,2.83,2.95
13,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Mar-23,100.00,33705.000,10-Ene-23,Tasa fija=8.75,3.16,8.96,103.16,97.70,10.17%,1.95,2.24
14,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,9-Oct-27,7-Sem,Sem.,9-Abr-23,100.00,36100.000,10-Ene-23,Tasa fija.=8.25,1.44,7.75,101.44,106.42,6.08%,2.78,2.95
15,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.00,28200.000,10-Ene-23,Fija=9,0.30,10.71,100.30,84.08,14.02%,3.69,4.30
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-23,100.00,23550.000,10-Ene-23,Fija=7,0.61,10.03,100.61,70.00,13.07%,5.93,7.51
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,24600.000,13-Jun-22,Fija=6,2.65,5.95,102.65,100.80,5.26%,0.99,1.02
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,24650.000,13-Jun-22,Fija=7.375,2.95,7.32,102.95,100.71,6.78%,1.01,1.05
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,15155.000,13-Jun-22,Fija=8.75,1.21,9.37,71.21,93.51,14.73%,1.19,1.32
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-22,100.00,23250.000,13-Jun-22,Tasa fija=6.875,0.57,6.77,100.57,101.57,6.07%,1.77,1.83
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,23470.000,13-Jun-22,Fija=9.5,2.56,9.45,102.56,100.55,10.63%,1.50,1.67
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,19500.000,13-Jun-22,Fija=8.5,3.23,10.31,103.23,83.00,16.45%,2.47,2.78
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,24000.000,13-Jun-22,Fija=8.5,3.05,8.30,103.05,102.34,7.36%,1.86,1.99
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Ago-22,100.00,21150.000,13-Jun-22,Fija=4,0.37,4.32,100.37,92.59,12.13%,1.91,2.07
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-22,100.00,24800.000,13-Jun-22,Fija=10.95,2.28,10.26,102.28,106.54,9.26%,3.20,3.41
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,24000.000,13-Jun-22,Fija=8,3.27,7.83,103.27,102.12,7.50%,3.34,3.56
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-22,100.00,26500.000,13-Jun-22,Fija=9.125,1.14,7.91,101.14,115.12,4.80%,3.28,3.43
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,23700.000,13-Jun-22,Tasa fija=8.75,2.50,8.61,102.50,101.59,8.25%,2.46,2.73
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,16000.000,13-Jun-22,Fija=2.5,1.15,3.62,101.15,69.50,17.65%,3.95,4.80
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,12700.000,13-Jun-22,Fija=1.5,0.31,2.70,100.31,55.63,16.03%,6.04,8.05
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.00,44900.000,18-Abr-23,Fija=6,1.73,5.54,101.73,108.16,-,0.24,0.21
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-23,100.00,43000.000,18-Abr-23,Fija=7.375,1.82,7.12,101.82,103.50,-,0.26,0.25
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-23,40.00,17150.000,18-Abr-23,Fija=8.75,0.16,8.36,40.16,104.67,3.73%,0.92,0.94
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,42620.000,18-Abr-23,Tasa fija=6.875,2.96,6.77,102.96,101.45,5.48%,1.00,1.02
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-23,73.40,31970.000,18-Abr-23,Fija=9.5,0.81,8.99,74.21,105.57,6.90%,1.25,1.31
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-23,100.00,39500.000,18-Abr-23,Fija=8.5,1.89,8.96,101.89,95.01,11.40%,1.96,2.10
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-23,97.00,40400.000,18-Abr-23,Fija=8.5,1.69,8.47,98.69,100.32,8.36%,1.20,1.30
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-23,92.31,39300.000,18-Abr-23,Fija=9,1.57,8.77,93.88,102.60,7.18%,1.31,1.38
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-23,100.00,43350.000,18-Abr-23,Fija=10.95,0.61,10.37,100.61,105.60,9.20%,2.68,2.80
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-23,100.00,40250.000,18-Abr-23,Fija=8,2.04,8.28,102.04,96.67,9.43%,2.73,2.92
10,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,8-Dic-26,3-Anual,Sem.,8-Jun-23,100.00,46001.000,18-Abr-23,Tasa fija.=9.5,3.48,8.70,103.48,108.94,5.72%,2.27,2.39
11,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.00,46700.000,18-Abr-23,Fija=9.125,4.31,8.28,104.31,109.72,5.50%,2.56,2.68
12,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-23,90.00,37485.000,18-Abr-23,Tasa fija=8.75,1.05,8.67,91.05,100.90,8.46%,2.03,2.25
13,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,9-Oct-27,7-Sem,Sem.,9-Oct-23,100.00,44000.000,18-Abr-23,Tasa fija.=8.25,0.25,7.67,100.25,107.56,5.49%,2.62,2.76
14,IRCFO,IRSA CLASE XIV EN U$S ,22-Jun-28,5-Anual,Sem.,22-Jun-23,100.00,44050.000,18-Abr-23,Tasa fija.=8.75,2.87,8.33,102.87,104.95,7.13%,2.82,3.10
15,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.00,38000.000,18-Abr-23,Fija=9,2.75,9.96,102.75,90.64,12.07%,3.52,4.03
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-23,100.00,30600.000,18-Abr-23,Fija=7,0.39,9.38,100.39,74.70,12.00%,5.97,7.34
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,20665.000,17-Feb-22,Fija=6,0.75,6.14,100.75,97.71,7.98%,1.28,1.33
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,20600.000,17-Feb-22,Fija=7.375,0.61,7.56,100.61,97.53,9.53%,1.30,1.36
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.00,20600.000,17-Feb-22,Fija=8.75,3.33,9.23,103.33,94.97,14.18%,1.01,1.18
3,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-22,100.00,21650.000,17-Feb-22,Fija=9.5,4.30,9.61,104.30,98.88,11.53%,1.71,1.91
4,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,17200.000,17-Feb-22,Fija=8.5,0.54,10.44,100.54,81.49,16.34%,2.76,3.09
5,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,21000.000,17-Feb-22,Fija=8.5,0.35,8.53,100.35,99.68,8.84%,2.14,2.30
6,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,18700.000,17-Feb-22,Fija=4,0.10,4.50,100.10,88.99,13.00%,2.18,2.36
